Cities,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Datetime
San Jorge,-31.9,-61.86,64.0,28,0,4.0,AR,1590953101
Turukhansk,65.82,87.98,45.55,61,100,15.5,RU,1590953101
Busselton,-33.65,115.33,55.99,74,100,3.29,AU,1590953101
Kadoma,34.73,135.58,66.99,75,44,3.53,JP,1590953101
Lebu,-37.62,-73.65,53.96,64,47,17.54,CL,1590953101
Klaksvík,62.23,-6.59,55.4,76,100,13.87,FO,1590953102
Ushuaia,-54.8,-68.3,42.8,70,75,6.93,AR,1590952887
Rikitea,-23.12,-134.97,75.47,85,19,9.42,PF,1590953102
Atuona,-9.8,-139.03,80.51,78,1,20.04,PF,1590953102
Albany,42.6,-73.97,64.0,39,70,11.74,US,1590953040
Mataura,-46.19,168.86,35.04,85,0,1.97,NZ,1590953103
Tasiilaq,65.61,-37.64,41.0,75,0,13.87,GL,1590953103
Jamestown,42.1,-79.24,54.0,50,75,9.17,US,1590952961
Kapaa,22.08,-159.32,78.8,74,40,14.99,US,1590953103
Faya,18.39,42.45,75.2,64,20,4.7,SA,1590953103
Qaanaaq,77.48,-69.36,31.15,91,36,0.98,GL,1590953103
Kostino,58.91,53.27,43.66,95,100,5.7,RU,1590953104
Cherskiy,68.75,161.3,50.52,48,100,4.5,RU,1590953104
Anadyr,64.75,177.48,42.8,81,0,11.18,RU,1590953104
Murmashi,68.82,32.81,42.8,93,75,4.47,RU,1590953104
Butaritari,3.07,172.79,83.3,78,12,14.27,KI,1590953104
Pangnirtung,66.15,-65.71,32.0,91,75,8.05,CA,1590953104
Bokovskaya,49.23,41.83,57.61,82,0,10.96,RU,1590953104
Hobyo,5.35,48.53,82.81,72,100,26.33,SO,1590953105
Pangody,65.85,74.49,35.26,83,0,12.82,RU,1590953105
Dongsheng,39.82,109.98,57.92,29,0,13.8,CN,1590953105
Bambous Virieux,-20.34,57.76,73.4,83,40,6.93,MU,1590953105
Taoudenni,22.68,-3.98,103.23,11,29,7.27,ML,1590952865
Esperance,-33.87,121.9,51.8,100,90,6.93,AU,1590953105
Puerto del Rosario,28.5,-13.86,73.4,73,40,6.93,ES,1590953105
Yellowknife,62.46,-114.35,60.8,36,75,16.11,CA,1590953106
Severo-Kuril'sk,50.68,156.12,40.21,73,63,4.68,RU,1590953106
Bethel,41.37,-73.41,66.99,34,75,12.75,US,1590953106
Tupik,54.43,119.93,35.78,83,0,0.69,RU,1590953106
Port Moresby,-9.44,147.18,75.2,100,75,4.7,PG,1590953106
Punta Arenas,-53.15,-70.92,44.6,81,100,4.7,CL,1590953035
La Ronge,55.1,-105.28,73.4,35,75,13.87,CA,1590953107
Hobart,-42.88,147.33,48.99,76,75,5.82,AU,1590952814
Stykkisholmur,65.08,-22.73,46.15,69,92,6.87,IS,1590953107
San Patricio,19.22,-104.7,80.6,69,5,11.41,MX,1590953107
Te Anau,-45.42,167.72,38.16,77,0,0.56,NZ,1590953107
Raja,8.46,25.68,81.75,52,35,6.06,SS,1590953108
Kaitangata,-46.28,169.85,46.99,83,0,1.01,NZ,1590953108
Amboasary,-25.03,46.38,66.2,93,75,6.93,MG,1590953108
Saskylakh,71.92,114.08,39.58,83,99,6.42,RU,1590953108
Chapleau,47.84,-83.4,50.0,71,75,6.93,CA,1590953108
Clyde River,70.47,-68.59,30.2,80,90,11.41,CA,1590953109
Gigmoto,13.78,124.39,80.37,82,100,5.91,PH,1590953110
Zalaszentgrót,46.94,17.08,51.8,87,90,12.75,HU,1590953110
New Norfolk,-42.78,147.06,46.99,67,100,2.3,AU,1590953110
Maniitsoq,65.42,-52.9,39.96,72,100,5.17,GL,1590953110
Belyy Yar,53.6,91.39,53.6,76,40,13.42,RU,1590953110
Christchurch,-43.53,172.63,53.01,93,100,14.99,NZ,1590952916
Tazovsky,67.47,78.7,36.88,80,64,11.18,RU,1590953111
Savannah Bight,16.45,-85.85,83.79,81,88,26.91,HN,1590953111
Bontang,0.13,117.5,80.98,81,14,4.14,ID,1590953111
Kuril'sk,45.23,147.88,51.26,58,0,0.83,RU,1590953111
Hondomachi-hondo,32.45,130.2,73.0,78,100,3.0,JP,1590953111
Trelleborg,55.38,13.16,63.0,45,0,6.93,SE,1590953111
Barentu,15.11,37.59,90.52,18,3,8.39,ER,1590953111
Hofn,64.25,-15.21,48.06,78,0,12.46,IS,1590953111
Hong Kong,22.29,114.16,84.0,79,100,5.99,HK,1590952888
Nikolskoye,59.7,30.79,53.6,34,0,6.71,RU,1590953112
Cukai,4.25,103.42,80.6,88,0,2.24,MY,1590953112
Mar del Plata,-38.0,-57.56,51.8,71,90,16.11,AR,1590952880
Ondjiva,-17.07,15.73,65.39,30,0,6.29,AO,1590953112
Kandrian,-6.22,149.55,77.23,90,100,5.7,PG,1590953112
Nome,64.5,-165.41,72.0,28,75,9.17,US,1590952836
Chokurdakh,70.63,147.92,40.32,67,42,1.92,RU,1590953113
Tagusao,9.19,117.81,80.98,78,0,5.23,PH,1590953113
Fare,-16.7,-151.02,81.05,80,28,14.58,PF,1590952985
Naze,28.37,129.48,77.0,94,90,2.24,JP,1590953113
Meulaboh,4.14,96.13,76.59,87,100,7.61,ID,1590953113
Manokwari,-0.87,134.08,79.75,72,100,3.29,ID,1590953114
Abomey-Calavi,6.45,2.36,82.4,83,20,10.29,BJ,1590953114
Ilulissat,69.22,-51.1,41.0,60,100,6.93,GL,1590953114
Sola,-13.88,167.55,77.0,100,90,14.67,VU,1590953114
Kitale,1.02,35.01,56.73,93,4,0.69,KE,1590953114
Hermanus,-34.42,19.23,50.0,97,0,1.7,ZA,1590953114
Laramie,41.31,-105.59,79.0,24,20,13.87,US,1590953114
Mehamn,71.04,27.85,44.62,94,98,18.45,NO,1590953114
Arco,45.92,10.89,62.01,69,20,9.17,IT,1590953115
Mehrān,33.12,46.16,69.8,22,0,4.7,IR,1590953115
